,title,budget,genres,id,keywords,overview,popularity,vote_average,vote_count,cast,director,executive_producer,writer,original_music_composer,director_photography,production_country,production_company,languages
995,Grease,6000000,Romance,621,flying car street gang running graduation musical,"Australian good girl Sandy and greaser Danny fell in love over the summer. But when they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance despite their eccentric friends?",67.608041,7.2,1581,John Travolta Olivia Newton-John Stockard Channing Jeff Conaway Didi Conn,Randal Kleiser,,,"['Jim Jacobs', 'Warren Casey']",['Bill Butler'],['United States of America'],"['Robert Stigwood Organization (RSO)', 'Paramount Pictures']",['English']
996,Green Lantern,200000000,Adventure Action Thriller Science Fiction,44912,dc comics transformation superhero alien alien infection,"For centuries, a small but powerful force of warriors called the Green Lantern Corps has sworn to keep intergalactic order. Each Green Lantern wears a ring that grants him superpowers. But when a new enemy called Parallax threatens to destroy the balance of power in the Universe, their fate and the fate of Earth lie in the hands of the first human ever recruited.",51.872839,5.1,2487,Ryan Reynolds Blake Lively Peter Sarsgaard Tim Robbins Mark Strong,Martin Campbell,"['Andrew Haas', 'Herb Gains']",,['James Newton Howard'],['Dion Beebe'],['United States of America'],"['De Line Pictures', 'DC Entertainment', 'Warner Bros.']",['English']
997,Green Room,5000000,Horror Crime Thriller,313922,skinhead heroin music cover-up murder,A young punk rock band find themselves trapped in a secluded venue after stumbling upon a horrific act of violence.,30.001023999999997,6.7,683,Anton Yelchin Imogen Poots Alia Shawkat Joe Cole Callum Turner,Jeremy Saulnier,"['Vincent Savino', 'Gabriel Hammond', 'Daniel Hammond']",['Jeremy Saulnier'],"['Will Blair', 'Brooke Blair']",['Sean Porter'],['United States of America'],"['Film Science', 'Broad Green Pictures']",['English']
998,Green Zone,100000000,War Action Adventure Drama Thriller,22972,weapon of mass destruction baghdad iraqi\u00a0,"During the U.S.-led occupation of Baghdad in 2003, Chief Warrant Officer Roy Miller and his team of Army inspectors were dispatched to find weapons of mass destruction believed to be stockpiled in the Iraqi desert. Rocketing from one booby-trapped and treacherous site to the next, the men search for deadly chemical agents but stumble instead upon an elaborate cover-up that threatens to invert the purpose of their mission.",30.254021,6.4,717,Matt Damon Greg Kinnear Brendan Gleeson Amy Ryan Jason Isaacs,Paul Greengrass,"['Liza Chasin', 'Debra Hayward']",['Brian Helgeland'],['John Powell'],['Barry Ackroyd'],"['United States of America', 'Spain', 'United Kingdom', 'France']","['Relativity Media', 'Universal Pictures', 'StudioCanal', 'Working Title Films', 'Dentsu']","['العربية', 'English']"
999,Gremlins,11000000,Fantasy Horror Comedy,927,holiday monster small town department store bars and restaurants,"When Billy Peltzer is given a strange but adorable pet named Gizmo for Christmas, he inadvertently breaks the three important rules of caring for a Mogwai, and unleashes a horde of mischievous gremlins on a small town.",45.072136,6.9,1596,Zach Galligan Phoebe Cates Hoyt Axton Polly Holliday Dick Miller,Joe Dante,['Steven Spielberg'],,"['Noel Regney', 'Jerry Goldsmith']",['John Hora'],['United States of America'],"['Warner Bros.', 'Amblin Entertainment']","['English', 'Español']"
1000,Gremlins 2: The New Batch,50000000,Comedy Horror Fantasy,928,new york monster skyscraper mutant restaurant,"Young sweethearts Billy and Kate move to the Big Apple, land jobs in a high-tech office park and soon reunite with the friendly and lovable Gizmo. But a series of accidents creates a whole new generation of Gremlins. The situation worsens when the devilish green creatures invade a top-secret laboratory and develop genetically altered powers, making them even harder to destroy!",33.98637,6.2,652,Zach Galligan Phoebe Cates John Glover Robert Prosky Robert Picardo,Joe Dante,['Steven Spielberg'],,['Jerry Goldsmith'],['John Hora'],['United States of America'],"['Amblin Entertainment', 'Warner Bros.']",['English']
1001,Gridiron Gang,30000000,Action Adventure Crime Drama,9766,competition prisoner probation assistant  sport violence,"Teenagers at a juvenile detention center, under the leadership of their counselor, gain self-esteem by playing football together.",9.278361,6.5,206,Dwayne Johnson Xzibit L. Scott Caldwell Leon Rippy Kevin Dunn,Phil Joanou,"['Shane Stanley', 'Michael I. Rachmil', 'Ryan Kavanaugh', 'Lynwood Spinks']",,['Trevor Rabin'],['Jeff Cutter'],['United States of America'],['Columbia Pictures'],['English']
1002,Grindhouse,67000000,Thriller Action Horror,285923,exploitation slasher zombie killer,Two full length feature horror movies written by Quentin Tarantino and Robert Rodriguez put together as a two film feature. Including fake movie trailers in between both movies.,16.637642,6.8,459,Kurt Russell Zo\u00eb Bell Rosario Dawson Vanessa Ferlito Sydney Tamiia Poitier,Robert Rodriguez,"['Harvey Weinstein', 'Shannon McIntosh', 'Bob Weinstein', 'Sandra Condito']","['Eli Roth', 'Robert Rodriguez', 'Quentin Tarantino', 'Edgar Wright', 'Rob Zombie', 'Jason Eisener', 'Rob Cotterill', 'John Davies', 'Jeff Rendell']",,"['Phil Parmet', 'Milan Chadima', 'Jess Hall', 'Robert Rodriguez', 'Quentin Tarantino']",['United States of America'],"['Eyetronics', 'Rodriguez International Pictures', 'Big Talk Productions', 'Yer Dead Productions', 'Weinstein Company, The', 'Dimension Films', 'Troublemaker Studios', 'Dartmouth International']","['Español', 'English']"
1003,Groundhog Day,14600000,Romance Fantasy Drama Comedy,137,deja vu groundhog weather forecast telecaster pennsylvania,"A narcissistic TV weatherman, along with his attractive-but-distant producer and mawkish cameraman, is sent to report on Groundhog Day in the small town of Punxsutawney, where he finds himself repeating the same day over and over.",52.744331,7.4,2301,Bill Murray Andie MacDowell Chris Elliott Stephen Tobolowsky Brian Doyle-Murray,Harold Ramis,['C.O. Erickson'],,['George Fenton'],['John Bailey'],['United States of America'],['Columbia Pictures'],"['English', 'Français', 'Italiano']"
1004,Grown Ups,80000000,Comedy,38365,overweight swing foot convertible arrow,"After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend.",38.864027,6.0,1705,Adam Sandler Salma Hayek Maria Bello Steve Buscemi Maya Rudolph,Dennis Dugan,,"['Adam Sandler', 'Fred Wolf']",,,['United States of America'],"['Happy Madison Productions', 'Columbia Pictures', 'Relativity Media']",['English']
1005,Grown Ups 2,80000000,Comedy,109418,,"The all-star comedy cast from Grown Ups returns (with some exciting new additions) for more summertime laughs. Lenny (Adam Sandler) has relocated his family back to the small town where he and his friends grew up. This time around, the grown ups are the ones learning lessons from their kids on a day notoriously full of surprises: the last day of school.",45.589568,5.8,1155,Adam Sandler Kevin James Chris Rock David Spade Salma Hayek,Dennis Dugan,"['Barry Bernardi', 'Allen Covert']",,['Rupert Gregson-Williams'],['Theo van de Sande'],['United States of America'],"['Columbia Pictures', 'Happy Madison Productions', 'Sony Pictures Entertainment (SPE)']",['English']
1006,Grudge Match,40000000,Comedy,64807,father son relationship sport rivalry elderly elderly man,A pair of aging boxing rivals are coaxed out of retirement to fight one final bout -- 30 years after their last match.,21.362949,6.0,433,Robert De Niro Sylvester Stallone Alan Arkin Jon Bernthal Kevin Hart,Peter Segal,"['Jane Rosenthal', 'Kevin King Templeton']",,['Trevor Rabin'],['Dean Semler'],['United States of America'],"['Gerber Pictures', 'Warner Bros.']",['English']
1007,Guardians of the Galaxy,170000000,Action Science Fiction Adventure,118340,marvel comic spaceship space outer space orphan,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",481.09862400000003,7.9,9742,Chris Pratt Zoe Saldana Dave Bautista Vin Diesel Bradley Cooper,James Gunn,"['Victoria Alonso', 'Jeremy Latcham', 'Stan Lee', ""Louis D'Esposito"", 'Alan Fine']",,['Tyler Bates'],['Ben Davis'],"['United Kingdom', 'United States of America']","['Marvel Studios', 'Revolution Sun Studios', 'Bulletproof Cupid', 'Moving Picture Company (MPC)']",['English']
1008,Guess Who,35000000,Comedy Romance,11638,black people jealousy parents-in-law trouble fianc\u00e9e,"The fiancé of an African-American woman who's met with skepticism and suspicion from her father when she takes him home for the all-important introduction. As the wedding approaches, Dad must come to terms with his future son-in-law.",3.74263,5.5,225,Bernie Mac Ashton Kutcher Zoe Saldana Judith Scott Hal Williams,Kevin Rodney Sullivan,"['Betty Thomas', 'Steve Greener', 'Joseph M. Caracciolo']",,['John Murphy'],['Karl Walter Lindenlaub'],['United States of America'],"['3 Arts Entertainment', 'Regency Enterprises', 'Columbia Pictures', 'Tall Trees Productions']","['Français', 'Português', 'Polski', 'English']"
1009,Gulliver's Travels,112000000,Comedy,38745,journalist forbidden love princess royal court 3d,"Travel writer Lemuel Gulliver takes an assignment in Bermuda, but ends up on the island of Liliput, where he towers over its tiny citizens.",22.845143,4.9,621,Jack Black Amanda Peet Emily Blunt Jason Segel Chris O'Dowd,Rob Letterman,,,['Henry Jackman'],['David Tattersall'],['United States of America'],"['Twentieth Century Fox Film Corporation', 'Dune Entertainment III', 'Dune Entertainment', 'Davis Entertainment']",['English']
1010,Gun Shy,10000000,Action Comedy Romance Thriller,29076,female nudity drug cartel nervous breakdown,"Legendary undercover DEA agent Charlie Mayough has suddenly lost his nerves of steel. On the verge of a career-induced mental breakdown, and in complete fear of trigger-happy Mafia leader Fulvio Nesstra, Charlie seeks psychiatric help and finds himself relying on the support of an unstable therapy group and nurse Judy just to get through his work.",3.988432,5.4,24,Sandra Bullock Liam Neeson Oliver Platt Jos\u00e9 Z\u00fa\u00f1iga Michael DeLorenzo,Eric Blakeney,,['Eric Blakeney'],,,['United States of America'],"['Hollywood Pictures', 'Fortis Films']",['English']
1011,Hachi: A Dog's Tale,16000000,Drama Family,28178,japanese loyalty human animal relationship friendship friends,A drama based on the true story of a college professor's bond with the abandoned dog he takes into his home.,43.217089,7.7,1717,Richard Gere Joan Allen Jason Alexander Cary-Hiroyuki Tagawa Sarah Roemer,Lasse Hallstr\u00f6m,"['Warren T. Goz', 'Jeff Abberley', 'Paul Mason', 'Jim Seibel', 'Stewart McMichael', 'Julia Blackman']",,['Jan A.P. Kaczmarek'],['Ron Fortunato'],"['United States of America', 'United Kingdom']","['Inferno Distribution', 'Scion Films', 'Grand Army Entertainment', 'Opperman Viner Chrystyn Entertainment', 'Hachiko', 'Stage 6 Films']","['English', '日本語']"
1012,Hackers,20000000,Action Crime Thriller Drama,10428,female nudity hacker nudity computer virus virtual reality,"Along with his new friends, a teenager who was arrested by the US Secret Service and banned from using a computer for writing a computer virus discovers a plot by a nefarious hacker, but they must use their computer skills to find the evidence while being pursued by the Secret Service and the evil computer genius behind the virus.",17.842246,6.2,398,Jonny Lee Miller Angelina Jolie Jesse Bradford Matthew Lillard Renoly Santiago,Iain Softley,['Iain Softley'],['Rafael Moreu'],"['Simon Boswell', 'Guy Pratt']",['Andrzej Sekula'],['United States of America'],"['United Artists', 'Suftley']","['English', '日本語', 'Italiano', 'Pусский']"
1013,"Hail, Caesar!",22000000,Comedy Drama Mystery,270487,journalist cat ransom kidnapping ancient rome,"Tells the comedic tale of Eddie Mannix, a fixer who worked for the Hollywood studios in the 1950s. The story finds him at work when a star mysteriously disappears in the middle of filming.",39.006187,5.7,1309,Josh Brolin George Clooney Alden Ehrenreich Ralph Fiennes Scarlett Johansson,Joel Coen,['Robert Graf'],"['Ethan Coen', 'Joel Coen']",,['Roger Deakins'],['United States of America'],"['Universal Pictures', 'Working Title Films', 'Mike Zoss Productions']",['English']
1014,Hairspray,50000000,Family Comedy Music Romance,2976,races dream dance television tv show,"Pleasantly plump teenager, Tracy Turnblad and her best friend, Penny Pingleton audition to be on The Corny Collins Show – and Tracy wins. But when scheming Amber Von Tussle and her mother plot to destroy Tracy, it turns to chaos.",31.160542,6.5,709,John Travolta Michelle Pfeiffer Christopher Walken James Marsden Queen Latifah,Adam Shankman,['Dana Belcastro'],,,['Bojan Bazelli'],"['United States of America', 'United Kingdom']","['Offspring Entertainment', 'New Line Cinema', 'Zadan / Meron Productions', 'Ingenious Film Partners']",['English']
